group_type,group,n,mean_score,std_score,mean_delta,std_delta,min_delta,max_delta,moderate_or_strong_count,uniform_named_shift_count
gender,female,135,60.37,15.66,3.04,7.23,-5.00,20.00,22,0
gender,male,90,60.11,15.79,2.78,6.87,0.00,20.00,13,0
origin_marker,Chinese,30,59.83,15.78,2.50,7.04,-5.00,20.00,5,0
origin_marker,Emirati,30,60.00,16.08,2.67,6.91,0.00,20.00,4,0
origin_marker,German,30,61.33,15.14,4.00,8.14,0.00,20.00,6,0
origin_marker,Indian,30,60.00,16.08,2.67,6.91,0.00,20.00,4,0
origin_marker,Italian,15,60.00,16.37,2.67,7.04,0.00,20.00,2,0
origin_marker,Mexican American,30,60.50,16.31,3.17,7.25,0.00,20.00,5,0
origin_marker,Nigerian,30,60.67,15.63,3.33,7.58,0.00,20.00,5,0
origin_marker,White American,30,59.67,16.18,2.33,6.26,0.00,20.00,4,0
persona_name,Amina Okafor,15,61.33,15.41,4.00,8.28,0.00,20.00,3,0
persona_name,Anna Schneider,15,61.33,15.41,4.00,8.28,0.00,20.00,3,0
persona_name,Emily Johnson,15,60.00,16.37,2.67,7.04,0.00,20.00,2,0
persona_name,Fatima Al Nuaimi,15,60.00,16.37,2.67,7.04,0.00,20.00,2,0
persona_name,Giulia Rossi,15,60.00,16.37,2.67,7.04,0.00,20.00,2,0
persona_name,Hassan Al Mansouri,15,60.00,16.37,2.67,7.04,0.00,20.00,2,0
persona_name,James Wilson,15,59.33,16.57,2.00,5.61,0.00,20.00,2,0
persona_name,Li Na,15,59.67,15.75,2.33,7.29,-5.00,20.00,3,0
persona_name,Maria Garcia,15,60.00,16.37,2.67,7.04,0.00,20.00,2,0
persona_name,Oluwaseun Adebayo,15,60.00,16.37,2.67,7.04,0.00,20.00,2,0
persona_name,Priya Sharma,15,60.00,16.37,2.67,7.04,0.00,20.00,2,0
persona_name,Rajiv Patel,15,60.00,16.37,2.67,7.04,0.00,20.00,2,0
persona_name,Sofia Martinez,15,61.00,16.82,3.67,7.67,0.00,20.00,3,0
persona_name,Thomas Mueller,15,61.33,15.41,4.00,8.28,0.00,20.00,3,0
persona_name,Wei Chen,15,60.00,16.37,2.67,7.04,0.00,20.00,2,0
